Edad,Genero,Comunidad_Autonoma,Situacion_Laboral,Historial_Familiar,Estres_Diario,Horas_Sueno,Actividad_Fisica,Apoyo_Social,Consumo_Redes,RISK_LEVEL
20,Femenino,La Rioja,Empleado,Sí,5,7.5,Media,10,1.6,Bajo
37,Masculino,Extremadura,Empleado,No,4,5.0,Baja,9,3.2,Bajo
77,Masculino,País Vasco,Estudiante,No,7,6.3,Media,6,3.9,Medio
76,Masculino,Cataluña,Empleado,No,8,6.6,Media,8,4.0,Medio
53,Masculino,Cataluña,Desempleado,No,4,9.0,Baja,10,3.3,Bajo
36,Femenino,Murcia,Empleado,Sí,1,6.7,Baja,1,4.7,Medio
43,Masculino,Baleares,Desempleado,Sí,1,4.4,Media,10,4.3,Bajo
20,Femenino,Comunidad Valenciana,Jubilado,Sí,1,4.6,Alta,7,3.8,Bajo
80,Femenino,Cataluña,Jubilado,Sí,1,7.0,Baja,3,2.7,Medio
36,Femenino,Andalucía,Estudiante,No,5,7.7,Baja,9,6.1,Bajo
37,Femenino,Andalucía,Estudiante,No,4,7.5,Alta,6,4.8,Bajo
49,Masculino,Castilla y León,Desempleado,No,9,7.2,Baja,5,1.9,Alto
24,Femenino,Madrid,Desempleado,No,3,8.4,Media,8,5.3,Bajo
69,Masculino,Extremadura,Empleado,No,7,6.4,Baja,8,5.8,Medio
58,Masculino,Castilla y León,Empleado,No,8,8.1,Baja,3,3.8,Alto
50,Femenino,Cataluña,Empleado,Sí,6,5.0,Media,2,4.0,Alto
57,Masculino,Galicia,Jubilado,No,10,5.9,Media,2,0.5,Alto
56,Masculino,Madrid,Empleado,Sí,1,4.8,Baja,5,2.3,Medio
35,Femenino,Comunidad Valenciana,Empleado,Sí,8,6.7,Media,10,5.7,Alto
57,Masculino,Castilla y León,Empleado,No,10,6.9,Media,7,2.4,Medio
18,Femenino,Murcia,Desempleado,Sí,3,7.1,Media,8,3.7,Bajo
28,Masculino,Aragón,Estudiante,Sí,8,7.1,Baja,10,2.3,Medio
45,Femenino,Cataluña,Empleado,Sí,4,5.9,Media,8,4.5,Bajo
74,Femenino,Andalucía,Empleado,Sí,8,6.8,Media,8,4.8,Medio
42,Femenino,Castilla y León,Estudiante,No,1,5.2,Media,10,4.8,Bajo
67,Femenino,Andalucía,Empleado,Sí,3,8.6,Media,3,1.7,Medio
40,Masculino,Cataluña,Empleado,Sí,6,6.6,Baja,2,4.2,Alto
48,Femenino,Andalucía,Desempleado,No,9,6.4,Media,4,7.2,Alto
47,Masculino,País Vasco,Estudiante,No,2,8.9,Media,1,5.5,Medio
59,Femenino,Andalucía,Empleado,No,1,5.5,Baja,3,4.2,Medio
52,Masculino,País Vasco,Estudiante,Sí,10,5.6,Media,9,0.5,Alto
24,Femenino,La Rioja,Estudiante,No,3,5.7,Baja,7,3.5,Bajo
77,Masculino,Andalucía,Empleado,No,4,6.9,Media,7,7.3,Medio
33,Femenino,Andalucía,Jubilado,No,5,7.5,Baja,1,6.6,Alto
43,Femenino,Madrid,Estudiante,No,3,7.9,Media,7,4.9,Bajo
65,Femenino,Aragón,Estudiante,No,10,10.0,Alta,10,2.6,Bajo
74,Masculino,Cataluña,Estudiante,Sí,2,4.3,Media,7,4.1,Bajo
69,Femenino,Madrid,Empleado,No,2,7.7,Alta,4,5.5,Bajo
77,Masculino,Andalucía,Empleado,No,7,6.3,Alta,7,5.9,Medio
66,Masculino,Canarias,Empleado,No,9,6.3,Baja,8,4.6,Alto
19,Masculino,Madrid,Empleado,Sí,10,6.3,Media,3,5.7,Alto
18,Masculino,Canarias,Empleado,Sí,2,5.9,Media,10,3.9,Bajo
65,Femenino,Extremadura,Jubilado,Sí,7,9.0,Alta,2,3.8,Alto
79,Femenino,Cataluña,Estudiante,Sí,7,8.0,Baja,7,3.1,Medio
29,Masculino,Murcia,Desempleado,Sí,7,7.0,Alta,5,4.8,Alto
22,Masculino,Andalucía,Jubilado,No,3,8.6,Media,5,6.0,Bajo
54,Masculino,Baleares,Estudiante,No,7,5.2,Media,5,5.4,Alto
49,Masculino,País Vasco,Empleado,No,1,5.4,Baja,7,1.6,Bajo
76,Femenino,Baleares,Empleado,No,10,4.4,Baja,9,1.7,Alto
72,Masculino,Andalucía,Empleado,No,1,6.2,Media,8,6.2,Bajo
26,Masculino,Andalucía,Estudiante,Sí,5,7.2,Baja,6,4.4,Medio
58,Masculino,Madrid,Empleado,Sí,2,7.1,Alta,7,4.4,Bajo
52,Femenino,Madrid,Desempleado,Sí,9,7.2,Baja,9,4.4,Alto
36,Femenino,Cataluña,Empleado,No,7,5.3,Media,6,7.5,Alto
65,Femenino,Madrid,Estudiante,No,4,8.0,Baja,1,3.1,Medio
33,Femenino,Andalucía,Estudiante,Sí,4,7.3,Media,4,6.2,Medio
20,Femenino,Madrid,Estudiante,No,2,7.9,Media,8,4.5,Bajo
37,Masculino,Murcia,Jubilado,No,5,4.7,Baja,7,0.8,Bajo
41,Femenino,Madrid,Estudiante,No,4,7.4,Baja,3,2.4,Medio
71,Femenino,Andalucía,Jubilado,No,1,5.6,Baja,10,2.8,Bajo
73,Femenino,Madrid,Jubilado,No,8,6.5,Media,3,6.2,Alto
50,Femenino,Andalucía,Estudiante,Sí,3,7.6,Media,3,6.5,Medio
41,Femenino,Cantabria,Desempleado,No,6,7.1,Media,1,4.7,Alto
69,Femenino,Andalucía,Empleado,Sí,4,6.0,Media,10,3.0,Bajo
28,Otro,Castilla y León,Empleado,No,9,7.0,Media,1,2.2,Alto
66,Femenino,Cantabria,Desempleado,No,7,5.2,Baja,6,6.3,Alto
25,Femenino,Murcia,Empleado,Sí,9,8.4,Baja,1,1.4,Alto
53,Femenino,País Vasco,Empleado,No,10,6.8,Baja,5,3.8,Alto
55,Masculino,Murcia,Jubilado,No,3,8.3,Alta,4,8.7,Bajo
57,Femenino,La Rioja,Jubilado,Sí,1,6.4,Alta,5,3.0,Bajo
37,Masculino,Galicia,Estudiante,No,5,6.4,Baja,7,1.5,Bajo
79,Femenino,Comunidad Valenciana,Empleado,Sí,3,6.1,Media,6,0.5,Bajo
52,Otro,Galicia,Empleado,No,6,8.1,Alta,9,8.8,Bajo
65,Femenino,Comunidad Valenciana,Empleado,No,8,6.1,Media,6,4.7,Medio
79,Masculino,Galicia,Empleado,No,4,7.8,Baja,9,2.3,Bajo
42,Masculino,Madrid,Empleado,No,5,6.5,Baja,4,3.6,Medio
52,Masculino,Cataluña,Empleado,No,5,4.6,Media,1,2.7,Alto
42,Femenino,Andalucía,Jubilado,No,4,6.3,Alta,1,0.5,Bajo
46,Masculino,Andalucía,Estudiante,Sí,4,5.6,Media,10,5.6,Medio
35,Masculino,Cataluña,Empleado,No,4,7.0,Baja,7,4.1,Bajo
63,Masculino,Andalucía,Empleado,Sí,4,5.6,Baja,3,5.4,Alto
35,Femenino,Comunidad Valenciana,Empleado,No,4,8.1,Media,2,4.0,Medio
19,Femenino,Cataluña,Empleado,Sí,5,6.9,Alta,6,4.3,Medio
71,Masculino,Murcia,Jubilado,Sí,2,6.8,Media,6,0.5,Bajo
52,Masculino,Andalucía,Empleado,No,2,7.8,Media,7,5.8,Bajo
33,Femenino,Cataluña,Empleado,Sí,9,8.2,Baja,5,1.8,Alto
78,Femenino,Castilla y León,Empleado,Sí,2,7.0,Alta,8,2.3,Bajo
58,Femenino,Galicia,Empleado,Sí,6,6.1,Media,7,2.9,Medio
53,Masculino,Andalucía,Desempleado,Sí,2,4.9,Baja,2,0.5,Medio
50,Femenino,Baleares,Estudiante,Sí,5,6.2,Media,1,2.8,Alto
21,Femenino,Baleares,Desempleado,Sí,4,6.3,Baja,9,2.7,Medio
50,Femenino,Cataluña,Empleado,No,7,7.1,Baja,5,3.2,Alto
31,Femenino,Madrid,Desempleado,Sí,7,6.6,Baja,5,0.6,Alto
38,Masculino,La Rioja,Desempleado,No,6,7.8,Baja,10,5.9,Medio
65,Masculino,Galicia,Jubilado,Sí,10,6.3,Baja,4,4.8,Alto
37,Femenino,Comunidad Valenciana,Empleado,No,5,6.9,Media,2,2.3,Medio
73,Femenino,Murcia,Empleado,No,1,8.4,Media,5,2.8,Bajo
25,Femenino,Cataluña,Desempleado,Sí,3,7.4,Media,2,5.7,Alto
24,Femenino,Madrid,Desempleado,No,9,6.9,Baja,7,3.5,Alto
20,Femenino,Cataluña,Empleado,No,1,6.3,Baja,9,1.5,Bajo
34,Femenino,Canarias,Empleado,No,5,6.2,Media,9,3.8,Bajo
50,Masculino,Comunidad Valenciana,Empleado,No,2,6.0,Baja,6,1.8,Bajo
65,Femenino,País Vasco,Jubilado,Sí,4,6.4,Baja,1,2.6,Alto
29,Masculino,Cataluña,Empleado,No,1,7.9,Alta,6,3.9,Bajo
76,Masculino,Cataluña,Jubilado,No,3,6.7,Media,5,6.1,Medio
68,Otro,Comunidad Valenciana,Empleado,No,10,5.4,Alta,4,8.0,Alto
39,Masculino,Castilla y León,Jubilado,Sí,7,9.1,Media,6,6.7,Alto
72,Masculino,Comunidad Valenciana,Estudiante,No,10,7.4,Baja,6,3.9,Alto
39,Masculino,Andalucía,Empleado,No,3,5.3,Media,6,8.5,Bajo
63,Femenino,Aragón,Jubilado,Sí,4,6.5,Baja,2,5.1,Alto
47,Masculino,Andalucía,Empleado,Sí,2,7.1,Media,7,2.0,Bajo
55,Masculino,Navarra,Jubilado,Sí,3,9.0,Baja,4,4.2,Medio
55,Masculino,Andalucía,Desempleado,No,9,5.7,Alta,9,2.7,Medio
62,Masculino,País Vasco,Empleado,No,3,8.2,Baja,10,1.5,Bajo
68,Masculino,Andalucía,Desempleado,No,5,8.7,Alta,2,1.7,Medio
71,Masculino,Extremadura,Jubilado,No,2,6.2,Alta,5,3.7,Bajo
25,Femenino,Madrid,Empleado,No,4,6.7,Media,4,5.5,Medio
44,Masculino,Andalucía,Desempleado,Sí,7,5.8,Media,9,6.1,Alto
44,Masculino,Madrid,Estudiante,No,7,6.8,Media,4,1.5,Alto
51,Masculino,Andalucía,Estudiante,No,3,7.0,Alta,8,3.4,Bajo
38,Masculino,Andalucía,Empleado,No,5,7.8,Media,8,5.0,Bajo
47,Femenino,Navarra,Empleado,No,1,8.3,Media,6,4.3,Bajo
50,Femenino,Madrid,Empleado,No,10,6.1,Media,6,5.4,Alto
45,Masculino,Canarias,Desempleado,No,10,4.6,Alta,8,3.1,Alto
64,Masculino,Galicia,Empleado,No,10,7.0,Media,10,6.5,Medio
50,Masculino,País Vasco,Jubilado,No,1,7.4,Media,9,4.0,Bajo
22,Femenino,Andalucía,Empleado,No,5,7.3,Media,5,5.5,Medio
77,Femenino,Cataluña,Desempleado,Sí,10,6.6,Alta,1,3.2,Alto
78,Femenino,Canarias,Empleado,Sí,9,7.1,Media,1,4.1,Alto
65,Masculino,Cantabria,Empleado,Sí,1,8.8,Baja,2,0.8,Bajo
36,Femenino,Cataluña,Empleado,No,1,7.5,Media,10,2.3,Bajo
21,Masculino,Cataluña,Empleado,Sí,4,6.6,Alta,10,3.6,Bajo
52,Masculino,Madrid,Desempleado,Sí,4,6.4,Media,5,4.2,Alto
66,Masculino,La Rioja,Jubilado,Sí,2,6.8,Alta,4,9.4,Medio
34,Masculino,Cataluña,Desempleado,Sí,9,9.0,Baja,1,3.2,Alto
61,Femenino,Madrid,Jubilado,No,9,6.8,Media,4,1.2,Alto
45,Femenino,Baleares,Jubilado,Sí,2,7.0,Media,4,7.4,Medio
47,Masculino,Andalucía,Desempleado,No,9,6.4,Alta,10,6.2,Medio
46,Femenino,Andalucía,Estudiante,No,6,8.3,Baja,4,1.7,Medio
63,Otro,Galicia,Desempleado,No,8,9.4,Alta,1,4.9,Alto
70,Femenino,Extremadura,Empleado,Sí,10,7.5,Media,9,5.7,Alto
23,Femenino,Cataluña,Estudiante,No,4,7.1,Baja,3,4.3,Medio
52,Femenino,Madrid,Empleado,No,2,7.0,Baja,4,4.7,Bajo
77,Otro,Madrid,Desempleado,No,2,4.1,Baja,5,2.7,Medio
58,Femenino,Madrid,Estudiante,No,9,7.9,Media,7,5.0,Alto
54,Masculino,Galicia,Empleado,Sí,1,7.2,Baja,6,3.0,Bajo
41,Masculino,Madrid,Empleado,Sí,7,7.5,Baja,5,0.5,Alto
46,Femenino,Madrid,Jubilado,Sí,3,6.1,Alta,8,4.4,Bajo
66,Masculino,Madrid,Desempleado,No,3,6.5,Baja,1,0.6,Medio
63,Femenino,Galicia,Empleado,Sí,2,6.5,Baja,7,6.0,Bajo
70,Masculino,Comunidad Valenciana,Desempleado,Sí,10,8.2,Media,6,1.7,Alto
48,Masculino,Aragón,Desempleado,No,6,6.5,Media,5,0.5,Medio
52,Masculino,Andalucía,Empleado,Sí,10,9.5,Media,7,0.5,Medio
77,Masculino,Murcia,Jubilado,Sí,2,7.5,Media,3,3.9,Medio
50,Femenino,Aragón,Desempleado,No,10,5.5,Media,1,4.4,Alto
69,Femenino,Cataluña,Empleado,Sí,4,6.8,Media,9,1.2,Bajo
80,Femenino,Madrid,Estudiante,No,10,6.2,Baja,2,1.9,Alto
78,Femenino,Madrid,Jubilado,No,9,4.4,Baja,10,4.0,Medio
38,Masculino,Cataluña,Empleado,No,9,8.9,Media,3,5.9,Alto
49,Femenino,Madrid,Empleado,No,6,7.8,Baja,8,1.6,Bajo
40,Femenino,Andalucía,Empleado,No,4,7.6,Media,10,4.8,Bajo
50,Femenino,Cataluña,Desempleado,No,7,7.2,Media,9,0.5,Bajo
20,Masculino,Murcia,Desempleado,No,1,5.3,Baja,3,4.6,Medio
35,Femenino,Cataluña,Desempleado,No,4,6.4,Baja,6,5.5,Medio
42,Femenino,Murcia,Jubilado,No,5,8.0,Baja,7,5.0,Medio
59,Otro,Comunidad Valenciana,Estudiante,No,8,5.7,Media,1,6.0,Alto
48,Femenino,Baleares,Empleado,No,2,4.0,Media,7,5.9,Medio
71,Masculino,Comunidad Valenciana,Empleado,Sí,5,6.7,Media,4,7.7,Alto
75,Femenino,Andalucía,Empleado,Sí,6,6.8,Baja,5,4.2,Alto
20,Femenino,País Vasco,Empleado,Sí,5,7.2,Media,8,7.7,Medio
57,Masculino,Andalucía,Desempleado,No,9,7.9,Alta,4,2.1,Medio
63,Femenino,Madrid,Jubilado,No,10,7.8,Baja,4,3.6,Alto
41,Femenino,Asturias,Empleado,No,1,7.3,Media,8,3.8,Bajo
67,Masculino,Andalucía,Desempleado,Sí,3,8.4,Alta,5,1.9,Bajo
49,Masculino,Madrid,Estudiante,No,2,5.2,Baja,6,0.5,Bajo
64,Masculino,Castilla y León,Empleado,Sí,3,7.6,Media,5,5.7,Medio
39,Masculino,Baleares,Empleado,Sí,10,7.8,Baja,1,2.1,Alto
40,Masculino,País Vasco,Empleado,No,9,5.5,Media,7,3.2,Alto
19,Femenino,Cataluña,Empleado,No,9,5.2,Baja,6,7.2,Alto
80,Masculino,País Vasco,Jubilado,No,10,6.1,Alta,2,5.1,Alto
44,Masculino,Cataluña,Empleado,No,2,6.2,Media,7,7.5,Bajo
59,Femenino,Castilla y León,Empleado,Sí,3,7.9,Media,6,4.2,Bajo
19,Femenino,Navarra,Empleado,No,4,6.3,Media,5,5.1,Medio
43,Masculino,Castilla y León,Jubilado,No,9,6.0,Media,8,3.5,Medio
34,Masculino,Aragón,Empleado,Sí,3,6.3,Media,5,2.3,Medio
57,Masculino,Andalucía,Empleado,No,7,8.3,Alta,2,5.1,Medio
50,Femenino,Castilla y León,Empleado,No,3,7.0,Alta,6,3.1,Bajo
26,Masculino,Murcia,Empleado,No,7,6.8,Media,1,5.3,Alto
60,Femenino,Andalucía,Empleado,No,7,6.9,Alta,5,2.9,Medio
71,Femenino,Baleares,Desempleado,No,9,8.6,Media,6,3.6,Medio
65,Masculino,Cataluña,Empleado,Sí,2,6.1,Media,7,3.8,Bajo
56,Femenino,País Vasco,Empleado,No,6,8.6,Media,2,6.2,Medio
46,Otro,Murcia,Estudiante,Sí,9,7.3,Baja,1,3.2,Alto
59,Masculino,País Vasco,Empleado,Sí,2,6.8,Baja,6,6.4,Medio
72,Femenino,Andalucía,Empleado,Sí,2,10.0,Baja,3,2.2,Medio
43,Femenino,Galicia,Empleado,No,5,5.7,Media,5,4.5,Medio
52,Femenino,Comunidad Valenciana,Jubilado,No,10,6.6,Baja,2,2.6,Alto
67,Femenino,Extremadura,Empleado,Sí,10,5.5,Media,1,6.2,Alto
42,Femenino,Madrid,Jubilado,No,10,8.1,Alta,1,2.4,Alto
41,Femenino,Cataluña,Estudiante,No,8,9.0,Baja,4,2.6,Medio
30,Femenino,Castilla y León,Empleado,Sí,9,9.0,Media,10,1.5,Medio
77,Femenino,Madrid,Jubilado,Sí,2,8.5,Baja,2,4.2,Medio
75,Femenino,Galicia,Empleado,No,5,6.8,Baja,1,5.2,Alto
24,Femenino,Galicia,Empleado,Sí,7,6.6,Media,6,5.0,Medio
74,Masculino,Baleares,Estudiante,No,6,5.0,Media,4,3.7,Medio
53,Masculino,Galicia,Estudiante,Sí,6,9.4,Media,10,2.7,Bajo
62,Masculino,Comunidad Valenciana,Desempleado,No,7,7.6,Baja,7,3.4,Alto
37,Masculino,Andalucía,Empleado,No,3,6.4,Media,6,3.5,Bajo
18,Masculino,Andalucía,Empleado,No,3,8.6,Baja,5,4.5,Bajo
25,Femenino,Andalucía,Estudiante,No,10,5.8,Baja,10,4.4,Medio
63,Masculino,Andalucía,Empleado,No,9,7.5,Baja,2,7.5,Alto
33,Femenino,Galicia,Empleado,No,8,6.8,Baja,5,4.1,Medio
31,Masculino,Castilla y León,Empleado,No,5,7.8,Baja,9,4.7,Bajo
29,Femenino,Comunidad Valenciana,Empleado,Sí,6,6.9,Baja,9,4.1,Medio
68,Femenino,Murcia,Jubilado,No,10,5.3,Alta,2,3.3,Alto
40,Masculino,La Rioja,Empleado,Sí,1,7.1,Baja,7,4.7,Bajo
32,Femenino,Murcia,Jubilado,No,10,8.3,Baja,10,3.2,Medio
45,Masculino,País Vasco,Empleado,Sí,1,7.0,Baja,4,3.9,Medio
51,Femenino,Comunidad Valenciana,Estudiante,No,4,7.9,Media,3,6.3,Medio
19,Masculino,Madrid,Empleado,Sí,2,5.7,Baja,1,3.0,Medio
49,Femenino,Andalucía,Empleado,No,7,7.0,Alta,3,4.8,Medio
40,Masculino,Madrid,Empleado,No,2,6.3,Alta,9,0.5,Bajo
80,Femenino,Extremadura,Empleado,No,10,7.9,Baja,9,3.6,Medio
39,Femenino,Murcia,Empleado,No,2,7.0,Media,7,3.0,Bajo
68,Masculino,Cataluña,Jubilado,Sí,5,7.8,Baja,3,4.2,Alto
42,Masculino,Madrid,Desempleado,No,4,8.3,Media,3,3.5,Medio
75,Masculino,Murcia,Empleado,No,8,7.8,Media,4,4.3,Medio
80,Masculino,Andalucía,Empleado,Sí,4,7.3,Baja,7,3.2,Medio
79,Femenino,Madrid,Empleado,No,6,5.8,Baja,7,4.8,Medio
78,Masculino,Aragón,Desempleado,Sí,5,7.0,Media,2,0.6,Alto
39,Masculino,Madrid,Estudiante,Sí,2,6.4,Media,5,4.2,Medio
75,Masculino,Andalucía,Jubilado,No,8,6.6,Baja,7,2.1,Medio
75,Femenino,Comunidad Valenciana,Empleado,Sí,2,6.6,Media,7,6.3,Bajo
39,Masculino,Aragón,Empleado,No,9,5.8,Media,6,2.1,Alto
66,Masculino,Galicia,Empleado,No,9,4.7,Alta,10,6.0,Medio
69,Masculino,Cataluña,Desempleado,Sí,3,6.2,Baja,10,4.0,Bajo
59,Masculino,Madrid,Desempleado,No,4,7.2,Media,8,0.5,Bajo
23,Femenino,Madrid,Desempleado,Sí,8,5.4,Media,3,2.2,Alto
32,Masculino,Comunidad Valenciana,Desempleado,No,9,7.0,Baja,1,5.7,Alto
71,Masculino,Canarias,Empleado,Sí,3,9.3,Media,3,5.6,Medio
60,Femenino,Andalucía,Estudiante,Sí,5,8.2,Media,2,1.4,Medio
77,Femenino,Baleares,Empleado,No,8,9.0,Alta,2,7.1,Alto
54,Masculino,Andalucía,Desempleado,No,3,7.5,Baja,2,4.0,Medio
50,Femenino,Madrid,Empleado,No,7,8.4,Media,5,5.8,Bajo
25,Femenino,Andalucía,Empleado,No,8,6.1,Baja,1,1.6,Alto
70,Masculino,Madrid,Jubilado,No,10,6.2,Alta,10,3.1,Medio
77,Femenino,Comunidad Valenciana,Jubilado,No,3,3.7,Baja,4,4.8,Medio
61,Femenino,Comunidad Valenciana,Estudiante,No,2,8.4,Alta,10,3.4,Bajo
61,Masculino,Andalucía,Empleado,Sí,10,8.8,Alta,5,0.5,Medio
22,Masculino,Galicia,Estudiante,No,7,6.3,Baja,2,3.6,Alto
56,Masculino,Andalucía,Empleado,No,9,6.7,Alta,5,0.5,Medio
21,Femenino,Canarias,Jubilado,Sí,1,6.1,Alta,10,1.9,Bajo
23,Otro,Navarra,Empleado,No,3,7.5,Baja,4,1.2,Bajo
62,Femenino,Cataluña,Jubilado,No,5,8.3,Media,8,6.3,Bajo
49,Masculino,Comunidad Valenciana,Jubilado,No,3,4.9,Media,1,6.9,Alto
69,Femenino,Madrid,Estudiante,No,1,7.5,Baja,5,4.7,Bajo
47,Femenino,Andalucía,Empleado,Sí,7,6.7,Baja,10,3.5,Medio
64,Masculino,Madrid,Empleado,Sí,7,7.1,Baja,1,4.1,Alto
52,Masculino,Canarias,Jubilado,Sí,10,7.6,Baja,10,6.3,Medio
72,Femenino,Galicia,Empleado,No,8,6.8,Media,10,0.5,Bajo
57,Masculino,Andalucía,Jubilado,Sí,5,6.9,Baja,4,1.8,Medio
69,Femenino,Aragón,Empleado,No,10,6.7,Alta,8,6.0,Alto
33,Masculino,Comunidad Valenciana,Empleado,Sí,5,8.2,Media,1,6.4,Alto
30,Masculino,Aragón,Jubilado,Sí,5,7.5,Baja,2,5.2,Alto
67,Masculino,Comunidad Valenciana,Desempleado,No,1,7.3,Media,1,1.9,Bajo
77,Masculino,Comunidad Valenciana,Desempleado,No,10,5.5,Media,7,6.0,Alto
59,Femenino,Andalucía,Desempleado,Sí,5,6.5,Alta,2,6.7,Alto
47,Masculino,Andalucía,Empleado,No,6,8.1,Baja,1,5.4,Alto
36,Femenino,Cantabria,Estudiante,No,1,7.0,Baja,6,0.5,Bajo
34,Femenino,Cataluña,Empleado,Sí,7,7.8,Alta,6,4.2,Medio
73,Femenino,Cantabria,Jubilado,Sí,1,9.1,Alta,10,5.2,Bajo
80,Masculino,Comunidad Valenciana,Jubilado,No,2,8.2,Media,2,3.0,Bajo
36,Femenino,Andalucía,Empleado,No,2,7.1,Media,1,4.4,Bajo
45,Femenino,Andalucía,Estudiante,Sí,5,6.4,Baja,10,3.0,Bajo
75,Masculino,Cataluña,Desempleado,No,10,3.9,Media,3,2.3,Alto
72,Masculino,Asturias,Empleado,No,7,6.8,Baja,10,7.0,Medio
43,Femenino,Madrid,Jubilado,No,1,6.6,Baja,5,4.4,Bajo
54,Femenino,Madrid,Empleado,No,10,7.5,Alta,6,1.8,Medio
43,Masculino,Cataluña,Empleado,No,1,6.8,Baja,3,1.2,Bajo
70,Femenino,Andalucía,Empleado,No,1,6.6,Media,9,2.3,Bajo
79,Femenino,Comunidad Valenciana,Empleado,No,6,4.9,Alta,5,2.3,Medio
40,Femenino,Andalucía,Desempleado,No,2,5.9,Baja,2,4.3,Alto
80,Femenino,Murcia,Estudiante,No,1,7.6,Alta,10,5.0,Bajo
26,Femenino,Madrid,Desempleado,No,6,9.1,Alta,6,5.0,Bajo
29,Masculino,Madrid,Desempleado,Sí,2,6.9,Media,8,2.5,Bajo
70,Masculino,Madrid,Empleado,No,6,7.4,Baja,6,5.8,Medio
18,Masculino,Madrid,Empleado,No,10,8.1,Baja,4,6.5,Alto
75,Femenino,La Rioja,Empleado,No,8,6.0,Media,6,3.5,Medio
75,Femenino,Comunidad Valenciana,Empleado,No,2,7.4,Baja,8,1.9,Bajo
18,Masculino,Andalucía,Desempleado,No,9,6.1,Baja,8,4.2,Alto
64,Femenino,Galicia,Empleado,Sí,8,8.0,Alta,10,8.3,Medio
51,Femenino,Andalucía,Empleado,No,10,7.2,Baja,2,1.9,Alto
49,Femenino,Andalucía,Empleado,No,1,7.4,Media,8,2.9,Bajo
79,Masculino,Cantabria,Jubilado,Sí,7,6.1,Baja,6,4.1,Alto
71,Femenino,Canarias,Jubilado,Sí,10,7.8,Media,2,5.1,Alto
65,Masculino,La Rioja,Desempleado,No,6,9.5,Alta,1,0.5,Medio
42,Masculino,Madrid,Jubilado,Sí,6,5.8,Baja,6,6.6,Alto
57,Masculino,Comunidad Valenciana,Estudiante,Sí,6,6.6,Baja,7,6.6,Alto
62,Masculino,Andalucía,Desempleado,No,6,7.3,Media,10,3.2,Bajo
70,Masculino,Cataluña,Empleado,No,10,7.9,Media,5,9.4,Alto
18,Femenino,Murcia,Estudiante,No,7,6.3,Media,10,6.5,Medio
33,Masculino,Madrid,Estudiante,No,3,3.6,Baja,8,6.3,Medio
78,Femenino,Murcia,Desempleado,Sí,6,8.6,Baja,9,6.4,Medio
56,Masculino,Castilla y León,Estudiante,No,3,7.9,Alta,4,6.3,Bajo
80,Femenino,Andalucía,Empleado,No,7,4.9,Alta,7,4.0,Medio
22,Femenino,Comunidad Valenciana,Estudiante,No,7,6.3,Media,8,3.8,Medio
39,Masculino,País Vasco,Jubilado,No,8,8.9,Alta,6,2.1,Medio
46,Masculino,Cataluña,Empleado,No,2,8.7,Media,2,2.8,Bajo
72,Masculino,Murcia,Estudiante,No,9,8.1,Media,7,3.4,Medio
20,Femenino,Comunidad Valenciana,Empleado,No,5,6.8,Baja,9,4.1,Bajo
29,Femenino,Andalucía,Desempleado,No,9,7.1,Media,5,7.2,Alto
43,Masculino,Comunidad Valenciana,Estudiante,No,10,6.8,Media,2,0.5,Alto
33,Femenino,La Rioja,Empleado,No,5,8.4,Baja,4,6.7,Medio
68,Masculino,Andalucía,Desempleado,No,7,5.9,Media,3,2.0,Alto
54,Masculino,Murcia,Empleado,No,9,6.0,Media,4,3.8,Alto
39,Femenino,Cataluña,Desempleado,No,4,8.2,Media,10,2.6,Bajo
74,Masculino,Canarias,Empleado,No,2,6.9,Media,7,7.7,Bajo
46,Femenino,Castilla y León,Estudiante,No,9,8.7,Alta,10,3.0,Medio
31,Masculino,Cataluña,Empleado,No,2,6.2,Baja,8,5.0,Bajo
45,Otro,Cataluña,Desempleado,No,3,6.9,Media,1,5.1,Medio
22,Masculino,Canarias,Empleado,No,10,5.9,Media,8,1.7,Medio
64,Masculino,Madrid,Jubilado,No,2,7.0,Media,5,3.8,Bajo
66,Femenino,Castilla y León,Jubilado,No,3,5.2,Baja,7,6.4,Bajo
47,Masculino,Andalucía,Jubilado,No,6,6.4,Baja,1,2.3,Alto
63,Otro,Aragón,Estudiante,No,3,5.3,Alta,2,5.7,Medio
79,Femenino,Castilla y León,Estudiante,No,10,7.8,Media,1,3.3,Alto
69,Femenino,Extremadura,Empleado,No,8,7.9,Alta,5,6.3,Alto
22,Femenino,Andalucía,Empleado,Sí,6,4.9,Media,6,7.5,Alto
29,Femenino,Galicia,Empleado,No,7,8.6,Media,10,0.5,Bajo
33,Femenino,Galicia,Estudiante,No,1,10.0,Alta,9,1.3,Bajo
43,Femenino,Madrid,Jubilado,No,3,7.1,Media,8,3.1,Bajo
43,Femenino,Madrid,Empleado,No,3,6.2,Baja,7,6.9,Bajo
65,Masculino,Andalucía,Jubilado,No,2,10.0,Media,5,5.1,Bajo
38,Masculino,Castilla y León,Desempleado,No,7,5.4,Alta,3,1.5,Alto
56,Femenino,Comunidad Valenciana,Desempleado,No,9,7.0,Baja,9,5.4,Alto
53,Masculino,Andalucía,Empleado,No,4,7.2,Baja,5,2.2,Medio
50,Femenino,País Vasco,Empleado,No,5,8.6,Baja,3,5.7,Medio
